,sentiment,Open,High,Low,Close,Volume
2021-08-04,0.29594131576460464,38213.33203125,39952.296875,37589.1640625,39747.50390625,25372562724
2021-08-05,0.5442078931464089,39744.515625,41341.93359375,37458.00390625,40869.5546875,35185031017
2021-08-06,0.4868560495661266,40865.8671875,43271.66015625,39932.1796875,42816.5,38226483046
2021-08-07,0.6179347613028118,42832.796875,44689.859375,42618.56640625,44555.80078125,40030862141
2021-08-08,0.7264824073229518,44574.4375,45282.3515625,43331.91015625,43798.1171875,36302664750
2021-08-09,0.5141222989447763,43791.92578125,46456.83203125,42848.6875,46365.40234375,38734079049
2021-08-10,0.5664838709167599,46280.84765625,46637.98828125,44705.5546875,45585.03125,33546019517
2021-08-11,0.5793622330067649,45599.703125,46735.6328125,45351.7109375,45593.63671875,34319709073
2021-08-12,0.36219652930895485,45576.87890625,46228.91015625,43861.4453125,44428.2890625,33723620826
2021-08-13,0.3874073816488867,44439.69140625,47831.9765625,44282.41796875,47793.3203125,31744259539
2021-08-14,0.5038018738850951,47810.6875,48098.68359375,46177.6328125,47096.9453125,31211354442
2021-08-15,0.3774906279785292,47096.66796875,47357.10546875,45579.58984375,47047.00390625,30988958446
2021-08-16,0.34278229649724634,47019.9609375,47998.09765625,45700.3203125,46004.484375,32776876610
2021-08-17,0.15644036427788113,45936.45703125,47139.5703125,44512.41796875,44695.359375,33451362600
2021-08-18,0.30388056365556493,44686.75,45952.0625,44364.02734375,44801.1875,32194123075
2021-08-19,0.33798225978752233,44741.8828125,46970.76171875,43998.31640625,46717.578125,37204312299
2021-08-20,0.559536799788475,46723.12109375,49342.15234375,46650.70703125,49339.17578125,34706867452
2021-08-21,0.630894927138632,49327.07421875,49717.01953125,48312.19921875,48905.4921875,40585205312
2021-08-22,0.7528600834664845,48869.10546875,49471.609375,48199.94140625,49321.65234375,25370975378
2021-08-23,0.5656336841182174,49291.67578125,50482.078125,49074.60546875,49546.1484375,34305053719
2021-08-24,0.35712838768959043,49562.34765625,49878.76953125,47687.1171875,47706.1171875,35361168834
2021-08-25,0.3504909041163686,47727.2578125,49202.87890625,47163.61328125,48960.7890625,32646349931
2021-08-26,0.13998613097975332,49002.640625,49347.58203125,46405.78125,46942.21875,32666549568
2021-08-27,0.38243982271303106,46894.5546875,49112.78515625,46394.28125,49058.66796875,34511076995
2021-08-28,0.5682135134935379,49072.5859375,49283.50390625,48499.23828125,48902.40234375,28568103401
2021-08-29,0.40597258852078366,48911.25,49644.11328125,47925.85546875,48829.83203125,25889650240
2021-08-30,0.2825612819029225,48834.8515625,48925.60546875,46950.2734375,47054.984375,31847007016
2021-08-31,0.4354504373143701,47024.33984375,48189.55078125,46750.09375,47166.6875,34730363427
2021-09-01,0.4286796442772213,47099.7734375,49111.08984375,46562.4375,48847.02734375,39139399125
2021-09-02,0.530230039828702,48807.84765625,50343.421875,48652.3203125,49327.72265625,39508070319
2021-09-03,0.4863841186980812,49288.25,50982.2734375,48386.0859375,50025.375,43206179619
2021-09-04,0.49873928308486937,50009.32421875,50545.58203125,49548.78125,49944.625,37471327794
2021-09-05,0.4553256121373946,49937.859375,51868.6796875,49538.59765625,51753.41015625,30322676319
2021-09-06,0.6089813343013626,51769.00390625,52700.94140625,51053.6796875,52633.53515625,38884105426
2021-09-07,0.24724129790609534,52660.48046875,52853.765625,43285.20703125,46811.12890625,65210059683
2021-09-08,0.03821494107445081,46827.76171875,47334.0546875,44561.39453125,46091.390625,49007762488
2021-09-09,0.15530111307793476,45774.7421875,47261.94921875,45669.73828125,46391.421875,38672657013
2021-09-10,0.18447905737492773,46396.6640625,47031.7421875,44344.484375,44883.91015625,39154666597
2021-09-11,0.3506711721420288,44869.83984375,45969.29296875,44818.265625,45201.45703125,34499835245
